date,sto_osc,macd,adx,obv,n_atr,log_ret,newsapi,close
2019-01-01,0.45066052155953196,-1.8459662471000857,0.21317594821203387,-8.3799699690272,-0.026225482092384622,0.02513185534819952,0.24,3797.14
2019-01-02,0.41445200096919754,-1.4625950851223521,0.19972073095357984,-7.723721665549791,-0.03507560876379967,0.016045905094793787,0.3,3858.56
2019-01-03,0.41100050276520866,-1.391429958215058,0.1859055680807421,-8.432648909462346,-0.03345376738739858,-0.024073531785738185,0.33,3766.78
2019-01-04,0.40842131724484687,-1.2302246304614888,0.173937236579291,-7.8408629961696175,-0.03588953844991194,0.0066756964269890735,0.48,3792.01
2019-01-05,0.3643790849673206,-1.1478121064302433,0.1615852379448808,-8.404959644011159,-0.04380126452297606,-0.005566610566114471,0.36,3770.96
2019-01-06,0.4753996983408749,-0.5735459944735798,0.16175586855058097,-7.912699491905742,0.020945714104505964,0.055859935212426354,0.31,3987.6
2019-01-07,0.6441618624584141,-0.1908304562316883,0.16191431125587397,-8.839244497027101,-0.04112210213176837,-0.0030515969204376486,0.39,3975.45
2019-01-08,0.7873905157132455,0.07216033255106642,0.1650741454649849,-10.270673602058574,-0.016723672109933085,-0.005124478781474369,0.39,3955.13
2019-01-09,0.8288803684673423,0.30051274172246933,0.16800827723058792,-10.474343761302803,-0.04582231244790702,0.0029084392953749355,0.42,3966.65
2019-01-10,0.5597687569075567,-0.3203447874212973,0.16759567020394533,-12.284377703708868,0.08797560753928169,-0.10091799860589419,0.37,3585.88
2019-01-11,0.3730343886886771,-0.790394968306265,0.17077210239887022,-11.377347075745314,-0.009418320803608937,0.004293757005468074,0.19,3601.31
2019-01-12,0.16909992489928316,-1.1970490441758734,0.1737216465798719,-12.22028101452029,-0.042824014260094745,-0.005060948049945182,0.22,3583.13
2019-01-13,0.1590668868095279,-1.788645238798904,0.18070604642503657,-13.58694394313451,-0.013889641902470329,-0.03012151338560415,0.21,3476.81
2019-01-14,0.18194595713738504,-1.7839782043874703,0.1824031922137875,-13.114331131412545,-0.0010347504117242945,0.04203972603983707,0.16,3626.09
2019-01-15,0.17611243701935794,-2.019008400327749,0.18397911330334193,-14.26143763056201,-0.026090441719556323,-0.02034572872980224,0.27,3553.06
2019-01-16,0.23712012728719156,-2.042056048685574,0.1854424686007853,-13.79875367564042,-0.03558157152326169,0.01085540198408706,0.24,3591.84
2019-01-17,0.23188013789445747,-1.9863199407105145,0.18759781854161622,-13.235489475306355,-0.03322622776305828,0.006761910046847543,0.28,3616.21
2019-01-18,0.2540546274197823,-1.9896140905301858,0.18959921491524492,-14.274155982119904,-0.05087728820604631,-0.005918686880883267,0.29,3594.87
2019-01-19,0.29301511535401725,-1.7693308317631458,0.18188484482862827,-13.822286557764427,-0.021229706529999448,0.01940235819347309,0.31,3665.3
2019-01-20,0.2522142667727392,-1.947773867248134,0.18285629938325065,-14.753688744386924,0.017767229448640176,-0.03498687074880035,0.35,3539.28
2019-01-21,0.21616547334924419,-2.051102519359529,0.1837583643268286,-15.477807756393704,-0.03776822526665513,-0.003504018484372307,0.3,3526.9
2019-01-22,0.17667033959663858,-1.9790327799471807,0.17983151609442907,-14.677066489123119,0.0008788187820700788,0.012406767923614694,0.27,3570.93
2019-01-23,0.1947804261414269,-1.9702779296296153,0.17618515702148663,-15.59357500689558,-0.03253793015355855,-0.005084411725233668,0.33,3552.82
